benchmark,gc_config,accumPause,avgFreedMemoryByFullGC,avgFreedMemoryByFullGCσ,avgFreedMemoryByGC,avgFreedMemoryByGCσ,avgFullGCPause,avgFullGCPauseσ,avgGCPause,avgGCPauseσ,avgPause,avgPauseσ,avgPromotion,avgRelativePostGCInc,avgfootprintAfterFullGC,avgfootprintAfterFullGCσ,avgfootprintAfterGC,avgfootprintAfterGCσ,footprint,freedMemory,freedMemoryByFullGC,freedMemoryByFullGCpc,freedMemoryByGC,freedMemoryByGCpc,freedMemoryPerMin,fullGCPause,fullGCPausePc,fullGCPerformance,fullGcPauseCount,gcPause,gcPauseCount,gcPausePc,gcPerformance,maxFullGCPause,maxPause,minFullGCPause,minPause,pauseCount,promotionTotal,slopeAfterGC,throughput,totalHeapAllocMax,totalHeapUsedMax,totalHeapUsedMaxpc,totalPermAllocMax,totalPermUsedMax,totalPermUsedMaxpc,totalTenuredAllocMax,totalTenuredUsedMax,totalTenuredUsedMaxpc,totalTime,totalYoungAllocMax,totalYoungUsedMax,totalYoungUsedMaxpc,wallTimeMs,wallTimeSec
avrora,g1gc,0.03,26.0,0.0,16.8,2335.079,0.0122,0.0,0.00346,0.00085,0.00492,0.00365,17616077.0,568.3795,2048.0,0.0,3686.4,915.893,248.0,110.0,26.0,23.6,84.0,76.4,806.326,0.01,41.4,2130.449,1.0,0.02,5.0,58.6,4853.527,0.0122,0.0122,0.0122,0.0025,6.0,88080384.0,2.7011,99.64,248.0,28.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10228.0,10.228
avrora,shenandoah,0.0018,0.0,0.0,16.6446,10.0028,0.0,0.0,0.00045,0.00027,0.00045,0.00027,0.0,5.1533,0.0,0.0,49.9966,24.0906,253.8645,66.5786,0.0,0.0,66.5786,0.0,458.899,0.0,0.0,0.0,0.0,0.0018,4.0,100.0,36988.111,0.0,0.00064,0.0,5e-05,4.0,0.0,19.9286,93.53,253.8645,187.9501,74.0,0.0,0.0,0.0,0.0,0.0,0.0,8.705,0.0,0.0,0.0,8705.0,8.705
avrora,zgc_nogen,5e-05,0.0,0.0,52.0,0.0,0.0,0.0,5e-05,0.0,5e-05,0.0,0.0,838.3346,0.0,0.0,6144.0,0.0,246.0,52.0,0.0,0.0,52.0,100.0,239135.433,0.0,0.0,0.0,0.0,5e-05,1.0,100.0,1106382.979,0.0,5e-05,0.0,5e-05,1.0,0.0,21.8047,99.64,246.0,58.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,8.761,0.0,0.0,0.0,8761.0,8.761
avrora,zgc_gen,5e-05,0.0,0.0,47.7004,0.0,0.0,0.0,5e-05,2e-05,5e-05,2e-05,0.0,882.9797,0.0,0.0,6705.8234,0.0,250.4246,50.3386,0.0,0.0,50.3386,0.0,366.543,0.0,0.0,0.0,0.0,5e-05,1,100.0,972527.138,0.0,6e-05,0.0,4e-05,1,0.0,24.0604,99.68,250.4246,58.4171,23.3,0.0,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0,0.0,8240.0,8.24
avrora,g1gc_pause50,0.04,7168.0,0.0,15.625,3371.322,0.01107,0.0,0.00303,0.00115,0.00392,0.00289,16384000.0,0.0,2048.0,0.0,3328.0,1059.941,248.0,132.0,7168.0,5.3,125.0,94.7,898.78,0.01,31.4,632.111,1.0,0.02,8.0,68.6,5161.876,0.01107,0.01107,0.01107,0.00131,9.0,131072000.0,20.0861,99.6,248.0,22.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9366.0,9.366
avrora,g1gc_threads2,0.03,27.0,0.0,16.8,2335.079,0.01551,0.0,0.00315,0.00131,0.00521,0.00518,17616077.0,528.08,2048.0,0.0,3686.4,915.893,248.0,111.0,27.0,24.3,84.0,75.7,937.979,0.02,49.6,1740.364,1.0,0.02,5.0,50.4,5329.949,0.01551,0.01551,0.01551,0.0021,6.0,88080384.0,3.3011,99.56,248.0,29.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9082.0,9.082
batik,g1gc,0.2,7168.0,0.0,10.062,17.548,0.01387,0.0,0.01139,0.00863,0.01153,0.00838,14068395.0,9.806,3072.0,0.0,61.125,51.668,426.0,168.0,7168.0,4.2,161.0,95.8,3252.287,0.01,7.1,504.868,1.0,0.18,16.0,92.9,883.77,0.01387,0.0338,0.01387,9e-05,17.0,168820736.0,16.601,93.67,426.0,233.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7145.0,7.145
batik,shenandoah,0.0012,0.0,0.0,35.8922,18.6011,0.0,0.0,0.0003,0.00018,0.0003,0.00018,0.0,10.0361,0.0,0.0,81.7371,46.5538,420.8256,143.569,0.0,0.0,143.569,0.0,1183.261,0.0,0.0,0.0,0.0,0.0012,4.0,100.0,119640.833,0.0,0.0004,0.0,4e-05,4.0,0.0,36.5886,92.21,420.8256,305.5173,72.6,0.0,0.0,0.0,0.0,0.0,0.0,7.28,0.0,0.0,0.0,7280.0,7.28
batik,zgc_nogen,8e-05,0.0,0.0,36.0,39.598,0.0,0.0,4e-05,2e-05,4e-05,2e-05,0.0,26.5587,0.0,0.0,189.0,210.718,402.0,72.0,0.0,0.0,72.0,100.0,1825.825,0.0,0.0,0.0,0.0,8e-05,2.0,100.0,837209.302,0.0,5e-05,0.0,3e-05,2.0,0.0,37.5748,100.0,402.0,402.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7416.0,7.416
batik,zgc_gen,8e-05,0.0,0.0,39.7727,41.3566,0.0,0.0,4e-05,1e-05,4e-05,1e-05,0.0,26.0435,0.0,0.0,193.1252,194.0867,381.7292,68.6445,0.0,0.0,68.6445,0.0,590.575,0.0,0.0,0.0,0.0,8e-05,2,100.0,806932.994,0.0,5e-05,0.0,3e-05,2,0.0,40.2721,99.94,381.7292,384.8131,100.8,0.0,0.0,0.0,0.0,0.0,0.0,6.974,0.0,0.0,0.0,6974.0,6.974
batik,g1gc_pause50,0.21,6144.0,0.0,7628.8,10.875,0.01082,0.0,0.00991,0.00573,0.00995,0.00558,8679879.0,8.8682,3072.0,0.0,55.7,52.632,1176.0,155.0,6144.0,3.9,149.0,96.1,3026.184,0.01,5.2,554.631,1.0,0.2,20.0,94.8,751.667,0.01082,0.02313,0.01082,0.00022,21.0,156237824.0,15.9269,93.2,1176.0,218.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7402.0,7.402
batik,g1gc_threads2,0.22,7168.0,0.0,10078.316,16.136,0.01335,0.0,0.01067,0.00927,0.01081,0.00904,15083362.0,12.405,3072.0,0.0,82.105,66.744,312.0,194.0,7168.0,3.6,187.0,96.4,3453.263,0.01,6.2,524.462,1.0,0.2,19.0,93.8,922.118,0.01335,0.03547,0.01335,0.00024,20.0,196083712.0,21.3542,93.59,312.0,231.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7354.0,7.354
