benchmark,suite,persona,best_gc,best_score,runner_up,margin
avrora,dacapo,Latency-Critical,zgc_gen,0.9995,zgc_nogen,0.0005
avrora,dacapo,Throughput-First,zgc_gen,0.9777,zgc_nogen,0.0818
avrora,dacapo,Memory-Constrained,zgc_nogen,0.9197,g1gc_pause50,0.1042
avrora,dacapo,Balanced,zgc_nogen,0.9329,zgc_gen,0.0736
batik,dacapo,Latency-Critical,zgc_nogen,1.0,zgc_gen,0.0023
batik,dacapo,Throughput-First,zgc_gen,0.8964,zgc_nogen,0.2954
batik,dacapo,Memory-Constrained,zgc_gen,0.624,zgc_nogen,0.0018
batik,dacapo,Balanced,zgc_gen,0.9775,zgc_nogen,0.2536
chi-square,renaissance,Latency-Critical,zgc_nogen,1.0,zgc_gen,0.0032
chi-square,renaissance,Throughput-First,shenandoah,0.7183,zgc_gen,0.0098
chi-square,renaissance,Memory-Constrained,g1gc,0.6528,shenandoah,0.0786
chi-square,renaissance,Balanced,zgc_gen,0.6213,shenandoah,0.0751
dec-tree,renaissance,Latency-Critical,zgc_nogen,1.0,zgc_gen,0.0022
dec-tree,renaissance,Throughput-First,zgc_nogen,0.7821,zgc_gen,0.0901
dec-tree,renaissance,Memory-Constrained,shenandoah,0.6942,g1gc_threads2,0.0699
dec-tree,renaissance,Balanced,zgc_nogen,0.6664,zgc_gen,0.1006
dotty,renaissance,Latency-Critical,zgc_gen,0.9995,zgc_nogen,0.0
dotty,renaissance,Throughput-First,zgc_nogen,0.8984,zgc_gen,0.0806
dotty,renaissance,Memory-Constrained,g1gc_threads2,0.6698,g1gc_pause50,0.0129
dotty,renaissance,Balanced,zgc_nogen,0.7498,zgc_gen,0.0743
finagle-http,renaissance,Latency-Critical,zgc_gen,0.9986,zgc_nogen,0.0017
finagle-http,renaissance,Throughput-First,zgc_gen,0.8965,zgc_nogen,0.0714
finagle-http,renaissance,Memory-Constrained,g1gc_pause50,0.6607,g1gc_threads2,0.0131
finagle-http,renaissance,Balanced,zgc_gen,0.7518,zgc_nogen,0.0656
fop,dacapo,Latency-Critical,zgc_gen,0.9995,zgc_nogen,0.0054
fop,dacapo,Throughput-First,zgc_gen,0.7659,zgc_nogen,0.0771
fop,dacapo,Memory-Constrained,g1gc_threads2,0.6823,g1gc_pause50,0.03
fop,dacapo,Balanced,zgc_gen,0.6306,zgc_nogen,0.0337
h2,dacapo,Latency-Critical,zgc_gen,0.9996,zgc_nogen,0.002
h2,dacapo,Throughput-First,zgc_gen,0.7389,zgc_nogen,0.0106
h2,dacapo,Memory-Constrained,zgc_gen,0.7036,zgc_nogen,0.0113
h2,dacapo,Balanced,zgc_nogen,0.5422,zgc_gen,0.0067
