benchmark,gc_config,accumPause,avgFreedMemoryByFullGC,avgFreedMemoryByFullGCσ,avgFreedMemoryByGC,avgFreedMemoryByGCσ,avgFullGCPause,avgFullGCPauseσ,avgGCPause,avgGCPauseσ,avgPause,avgPauseσ,avgPromotion,avgRelativePostFullGCInc,avgRelativePostGCInc,avgfootprintAfterFullGC,avgfootprintAfterFullGCσ,avgfootprintAfterGC,avgfootprintAfterGCσ,footprint,freedMemory,freedMemoryByFullGC,freedMemoryByFullGCpc,freedMemoryByGC,freedMemoryByGCpc,freedMemoryPerMin,fullGCPause,fullGCPausePc,fullGCPerformance,fullGcPauseCount,gcPause,gcPauseCount,gcPausePc,gcPerformance,maxFullGCPause,maxPause,minFullGCPause,minPause,pauseCount,promotionTotal,slopeAfterFullGC,slopeAfterGC,throughput,totalHeapAllocMax,totalHeapUsedMax,totalHeapUsedMaxpc,totalPermAllocMax,totalPermUsedMax,totalPermUsedMaxpc,totalTenuredAllocMax,totalTenuredUsedMax,totalTenuredUsedMaxpc,totalTime,totalYoungAllocMax,totalYoungUsedMax,totalYoungUsedMaxpc,wallTimeMs,wallTimeSec
chi-square,g1gc,0.71,400.667,159.632,137.643,130.247,0.08699,0.05391,0.01064,0.0083,0.01573,0.02382,159521523.0,75.0,7788.512,129.0,86.603,78.476,63.312,1162.0,6983.0,1202.0,17.2,5781.0,82.8,20649.889,0.26,36.9,4605.946,3.0,0.45,42.0,63.1,12936.388,0.13753,0.13753,0.03024,0.00028,45.0,6061817856.0,23.53,26.013,96.51,1162.0,756.0,65.1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,21439.0,21.439
chi-square,shenandoah,0.01,0.0,0.0,128.1995,83.753,0.0,0.0,0.00032,0.00028,0.00032,0.00028,0.0,0.0,35.9545,0.0,0.0,317.9078,156.3901,1731.8598,5384.3784,0.0,0.0,5384.3784,0.0,17947.928,0.0,0.0,0.0,0.0,0.01,42.0,100.0,538437.84,0.0,0.00114,0.0,7e-05,42.0,0.0,0.0,126.1607,99.93,1731.8598,1313.6942,75.9,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,23462.0,23.462
chi-square,zgc_nogen,0.0006,0.0,0.0,673.6,496.224,0.0,0.0,6e-05,2e-05,6e-05,2e-05,0.0,0.0,34.6316,0.0,0.0,206.2,166.142,1724.0,6736.0,0.0,0.0,6736.0,100.0,19610.778,0.0,0.0,0.0,0.0,0.0006,10.0,100.0,10952845.528,0.0,9e-05,0.0,3e-05,10.0,0.0,0.0,187.3244,100.0,1724.0,1662.0,96.4,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,24010.0,24.01
chi-square,zgc_gen,0.00066,0.0,0.0,732.5436,567.1155,0.0,0.0,6e-05,3e-05,6e-05,3e-05,0.0,0.0,35.1839,0.0,0.0,219.0162,181.3506,1664.0206,7315.1357,0.0,0.0,7315.1357,0.0,19068.868,0.0,0.0,0.0,0.0,0.00066,11,100.0,10401431.534,0.0,0.0001,0.0,3e-05,11,0.0,0.0,147.4237,99.93,1664.0206,1595.3949,95.9,0.0,0.0,0.0,0.0,0.0,0.0,23.017,0.0,0.0,0.0,23017.0,23.017
chi-square,g1gc_pause50,0.69,343.667,165.171,146.848,150.97,0.07753,0.04488,0.00987,0.00787,0.01401,0.02026,168645973.0,74.5,7597.152,128.333,86.025,81.37,66.968,1194.0,7786.0,1031.0,13.2,6755.0,86.8,23091.75,0.23,33.9,4432.96,3.0,0.45,46.0,66.1,14875.938,0.11862,0.11862,0.02964,0.0002,49.0,7083130880.0,22.608,22.703,96.61,1194.0,896.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,21676.0,21.676
chi-square,g1gc_threads2,0.77,242.0,100.479,168.652,165.051,0.09161,0.05208,0.01074,0.00909,0.0157,0.02396,193686967.0,74.5,7685.0,128.333,86.025,87.804,68.068,1292.0,8484.0,726.0,8.6,7758.0,91.4,23057.709,0.27,35.7,2641.518,3.0,0.49,46.0,64.3,15696.954,0.13899,0.13899,0.03586,0.00015,49.0,8134852608.0,20.837,21.599,96.52,1292.0,958.0,74.1,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,23597.0,23.597
dec-tree,g1gc,0.57,196.667,250.602,127.362,111.543,0.08754,0.04158,0.00653,0.00335,0.01139,0.02142,153092096.0,27.0,2574.15,65.333,27.61,56.128,31.59,722.0,6576.0,590.0,9.0,5986.0,91.0,14450.084,0.26,46.1,2246.481,3.0,0.31,47.0,53.9,19499.451,0.11408,0.11408,0.03962,0.00022,50.0,6276775936.0,3942.463,4382.461,97.91,722.0,575.0,79.6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,28462.0,28.462
dec-tree,shenandoah,0.01,0.0,0.0,104.762,69.8752,0.0,0.0,0.00032,0.00029,0.00032,0.00029,0.0,0.0,48.4858,0.0,0.0,371.9792,223.6613,1900.4947,4609.5283,0.0,0.0,4609.5283,0.0,10637.373,0.0,0.0,0.0,0.0,0.01,44.0,100.0,460952.83,0.0,0.001,0.0,7e-05,44.0,0.0,0.0,143.5304,99.95,1900.4947,1434.5266,75.5,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,31659.0,31.659
dec-tree,zgc_nogen,0.00045,0.0,0.0,624.0,577.657,0.0,0.0,5e-05,1e-05,5e-05,1e-05,0.0,0.0,15.0343,0.0,0.0,109.333,74.74,1822.0,5616.0,0.0,0.0,5616.0,100.0,13333.823,0.0,0.0,0.0,0.0,0.00045,9.0,100.0,12235294.118,0.0,7e-05,0.0,4e-05,9.0,0.0,0.0,197.8806,100.0,1822.0,1822.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,29718.0,29.718
dec-tree,zgc_gen,0.00055,0.0,0.0,693.9213,539.38,0.0,0.0,5e-05,2e-05,5e-05,2e-05,0.0,0.0,17.0472,0.0,0.0,112.4267,72.9405,1891.2185,6025.2412,0.0,0.0,6025.2412,0.0,11739.007,0.0,0.0,0.0,0.0,0.00055,11,100.0,13847552.798,0.0,7e-05,0.0,4e-05,11,0.0,0.0,210.9609,99.97,1891.2185,1810.4276,95.7,0.0,0.0,0.0,0.0,0.0,0.0,30.796,0.0,0.0,0.0,30796.0,30.796
dec-tree,g1gc_pause50,0.64,142.0,95.142,121.918,101.957,0.0993,0.04534,0.00696,0.00443,0.01229,0.02391,145678908.0,19.0,2974.294,60.0,21.656,52.0,30.137,558.0,6400.0,426.0,6.7,5974.0,93.3,12979.268,0.3,46.6,1429.986,3.0,0.34,49.0,53.4,17514.388,0.14475,0.14475,0.05407,0.00017,52.0,6264193024.0,2793.218,5603.736,97.84,558.0,456.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,31275.0,31.275
dec-tree,g1gc_threads2,0.59,212.667,142.693,121.638,98.751,0.08587,0.03211,0.0071,0.00388,0.01182,0.02033,146212414.0,18.5,2781.226,60.667,21.362,53.511,27.862,624.0,6355.0,638.0,10.0,5717.0,90.0,13605.429,0.26,43.6,2476.554,3.0,0.33,47.0,56.4,17143.56,0.10618,0.10618,0.04885,0.00022,50.0,5994708992.0,3024.757,5731.61,97.89,624.0,487.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,29562.0,29.562
