benchmark,gc_config,n_pauses,min_ms,mean_ms,std_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,p99_9_ms,max_ms
avrora,g1gc,6,2.504,4.9185,3.3305,3.3525,4.48,8.5165,10.3603,11.8353,12.1671,12.204
avrora,shenandoah,4,0.05,0.447,0.2321,0.55,0.5803,0.6149,0.6264,0.6357,0.6378,0.638
avrora,zgc_nogen,3,0.012,0.0157,0.0026,0.017,0.0175,0.0178,0.0179,0.018,0.018,0.018
avrora,zgc_gen,8,0.018,0.0205,0.0023,0.0205,0.022,0.0229,0.0239,0.0248,0.025,0.025
avrora,g1gc_pause50,9,1.311,3.9211,2.726,2.944,4.074,6.0548,8.5644,10.5721,11.0238,11.074
avrora,g1gc_threads2,6,2.102,5.2123,4.7287,2.986,4.8397,10.415,12.9645,15.0041,15.463,15.514
batik,g1gc,17,0.087,11.5317,8.1318,11.233,15.228,19.6572,23.3012,31.7018,33.592,33.802
batik,shenandoah,4,0.035,0.299,0.1538,0.3785,0.4032,0.4037,0.4039,0.404,0.404,0.404
batik,zgc_nogen,6,0.007,0.0143,0.0058,0.013,0.0145,0.0205,0.0232,0.0255,0.0259,0.026
batik,zgc_gen,13,0.015,0.0272,0.0166,0.021,0.03,0.0316,0.0516,0.0751,0.0804,0.081
batik,g1gc_pause50,21,0.218,9.9545,5.4494,9.177,13.891,15.372,16.045,21.7098,22.9844,23.126
batik,g1gc_threads2,20,0.242,10.8071,8.8102,8.642,14.6387,23.0276,24.2362,33.2224,35.2443,35.469
fop,g1gc,16,0.18,6.8791,3.8156,5.893,9.2327,11.698,12.9285,15.1857,15.6936,15.75
fop,shenandoah,8,0.037,0.2732,0.1669,0.2765,0.4355,0.4691,0.4785,0.4861,0.4878,0.488
fop,zgc_nogen,9,0.01,0.018,0.0054,0.018,0.02,0.0242,0.0266,0.0285,0.029,0.029
fop,zgc_gen,18,0.015,0.0244,0.0062,0.025,0.0288,0.0323,0.0336,0.0363,0.0369,0.037
fop,g1gc_pause50,15,0.143,6.8168,3.9819,6.811,9.63,10.8138,12.2717,14.9535,15.557,15.624
fop,g1gc_threads2,16,0.324,6.0924,3.0921,5.353,9.4013,10.3345,10.5988,10.6773,10.695,10.697
h2,g1gc,58,2.451,37.5274,45.6326,30.317,38.1545,46.8747,70.8561,212.4584,339.5731,353.697
h2,shenandoah,112,0.051,0.8147,2.9534,0.1935,0.8327,1.2678,1.3793,20.0636,22.5644,22.592
h2,zgc_nogen,100,0.006,0.0276,0.0274,0.019,0.029,0.0545,0.1062,0.1171,0.1287,0.13
h2,zgc_gen,181,0.014,0.0415,0.0414,0.033,0.043,0.065,0.093,0.172,0.4287,0.485
h2,g1gc_pause50,81,0.453,30.3945,43.8181,22.831,36.971,45.333,57.368,161.5016,367.0926,389.936
h2,g1gc_threads2,57,5.781,40.3441,44.9099,36.938,41.497,51.6242,58.8162,220.094,338.0048,351.106
luindex,g1gc,35,0.211,2.9395,1.4976,2.622,3.083,4.2058,5.086,8.3797,9.4492,9.568
luindex,shenandoah,12,0.038,0.2267,0.1797,0.1655,0.3533,0.5064,0.5088,0.5106,0.511,0.511
luindex,zgc_nogen,9,0.007,0.01,0.0026,0.009,0.01,0.0142,0.0146,0.0149,0.015,0.015
