[2026-04-03T01:01:55.934+0600][0.005s][info][gc,init] CardTable entry size: 512
[2026-04-03T01:01:55.934+0600][0.005s][info][gc     ] Using G1
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Version: 21.0.10+7-Ubuntu-124.04 (release)
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] CPUs: 12 total, 12 available
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Memory: 15683M
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Large Page Support: Disabled
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] NUMA Support: Disabled
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Compressed Oops: Enabled (Zero based)
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Heap Region Size: 2M
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Heap Min Capacity: 8M
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Heap Initial Capacity: 246M
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Heap Max Capacity: 3922M
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Pre-touch: Disabled
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Parallel Workers: 10
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Concurrent Workers: 3
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Concurrent Refinement Workers: 10
[2026-04-03T01:01:55.937+0600][0.008s][info][gc,init] Periodic GC: Disabled
[2026-04-03T01:01:55.952+0600][0.023s][info][gc,metaspace] CDS archive(s) mapped at: [0x00007ddb4f000000-0x00007ddb4fc9c000-0x00007ddb4fc9c000), size 13221888, SharedBaseAddress: 0x00007ddb4f000000, ArchiveRelocationMode: 1.
[2026-04-03T01:01:55.952+0600][0.023s][info][gc,metaspace] Compressed class space mapped at: 0x00007ddb50000000-0x00007ddb90000000, reserved size: 1073741824
[2026-04-03T01:01:55.952+0600][0.023s][info][gc,metaspace] Narrow klass base: 0x00007ddb4f000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-04-03T01:01:56.698+0600][0.769s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:01:56.700+0600][0.771s][info][gc,task     ] GC(0) Using 5 workers of 10 for evacuation
[2026-04-03T01:01:56.705+0600][0.776s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.18ms
