[2026-04-03T01:02:38.079+0600][0.005s][info][gc,init] CardTable entry size: 512
[2026-04-03T01:02:38.079+0600][0.006s][info][gc     ] Using G1
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Version: 21.0.10+7-Ubuntu-124.04 (release)
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] CPUs: 12 total, 12 available
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Memory: 15683M
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Large Page Support: Disabled
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] NUMA Support: Disabled
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Compressed Oops: Enabled (Zero based)
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Heap Region Size: 2M
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Heap Min Capacity: 8M
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Heap Initial Capacity: 246M
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Heap Max Capacity: 3922M
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Pre-touch: Disabled
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Parallel Workers: 10
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Concurrent Workers: 3
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Concurrent Refinement Workers: 10
[2026-04-03T01:02:38.082+0600][0.009s][info][gc,init] Periodic GC: Disabled
[2026-04-03T01:02:38.099+0600][0.026s][info][gc,metaspace] CDS archive(s) mapped at: [0x000073b2df000000-0x000073b2dfc9c000-0x000073b2dfc9c000), size 13221888, SharedBaseAddress: 0x000073b2df000000, ArchiveRelocationMode: 1.
[2026-04-03T01:02:38.099+0600][0.026s][info][gc,metaspace] Compressed class space mapped at: 0x000073b2e0000000-0x000073b320000000, reserved size: 1073741824
[2026-04-03T01:02:38.099+0600][0.026s][info][gc,metaspace] Narrow klass base: 0x000073b2df000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-04-03T01:02:38.557+0600][0.483s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:02:38.558+0600][0.484s][info][gc,task     ] GC(0) Using 5 workers of 10 for evacuation
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.15ms
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.19ms
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 2.22ms
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.74ms
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,phases   ] GC(0)   Other: 1.07ms
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,heap     ] GC(0) Eden regions: 6->0(5)
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,heap     ] GC(0) Survivor regions: 0->1(1)
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,heap     ] GC(0) Old regions: 1->2
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[2026-04-03T01:02:38.561+0600][0.488s][info][gc,metaspace] GC(0) Metaspace: 4807K(5056K)->4807K(5056K) NonClass: 4342K(4480K)->4342K(4480K) Class: 464K(576K)->464K(576K)
[2026-04-03T01:02:38.562+0600][0.488s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 12M->4M(248M) 4.727ms
[2026-04-03T01:02:38.562+0600][0.488s][info][gc,cpu      ] GC(0) User=0.01s Sys=0.00s Real=0.01s
[2026-04-03T01:02:38.856+0600][0.783s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:02:38.856+0600][0.783s][info][gc,task     ] GC(1) Using 5 workers of 10 for evacuation
[2026-04-03T01:02:38.860+0600][0.786s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.20ms
[2026-04-03T01:02:38.860+0600][0.786s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.07ms
[2026-04-03T01:02:38.860+0600][0.786s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 2.67ms
