[2026-04-03T00:58:53.610+0600][0.005s][info][gc,init] CardTable entry size: 512
[2026-04-03T00:58:53.610+0600][0.006s][info][gc     ] Using G1
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Version: 21.0.10+7-Ubuntu-124.04 (release)
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] CPUs: 12 total, 12 available
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Memory: 15683M
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Large Page Support: Disabled
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] NUMA Support: Disabled
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Compressed Oops: Enabled (Zero based)
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Heap Region Size: 2M
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Heap Min Capacity: 8M
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Heap Initial Capacity: 246M
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Heap Max Capacity: 3922M
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Pre-touch: Disabled
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Parallel Workers: 10
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Concurrent Workers: 2
[2026-04-03T00:58:53.613+0600][0.008s][info][gc,init] Concurrent Refinement Workers: 10
[2026-04-03T00:58:53.613+0600][0.009s][info][gc,init] Periodic GC: Disabled
[2026-04-03T00:58:53.628+0600][0.023s][info][gc,metaspace] CDS archive(s) mapped at: [0x00007d1fab000000-0x00007d1fabc9c000-0x00007d1fabc9c000), size 13221888, SharedBaseAddress: 0x00007d1fab000000, ArchiveRelocationMode: 1.
[2026-04-03T00:58:53.628+0600][0.023s][info][gc,metaspace] Compressed class space mapped at: 0x00007d1fac000000-0x00007d1fec000000, reserved size: 1073741824
[2026-04-03T00:58:53.628+0600][0.023s][info][gc,metaspace] Narrow klass base: 0x00007d1fab000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-04-03T00:58:54.409+0600][0.804s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:54.410+0600][0.805s][info][gc,task     ] GC(0) Using 5 workers of 10 for evacuation
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.14ms
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.18ms
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 3.48ms
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.89ms
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,phases   ] GC(0)   Other: 0.77ms
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,heap     ] GC(0) Eden regions: 11->0(17)
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,heap     ] GC(0) Survivor regions: 0->2(2)
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,heap     ] GC(0) Old regions: 1->2
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,metaspace] GC(0) Metaspace: 8477K(8640K)->8477K(8640K) NonClass: 7645K(7744K)->7645K(7744K) Class: 831K(896K)->831K(896K)
[2026-04-03T00:58:54.414+0600][0.810s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 23M->5M(248M) 5.781ms
[2026-04-03T00:58:54.414+0600][0.810s][info][gc,cpu      ] GC(0) User=0.01s Sys=0.01s Real=0.01s
[2026-04-03T00:58:54.667+0600][1.063s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:54.667+0600][1.063s][info][gc,task     ] GC(1) Using 5 workers of 10 for evacuation
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.20ms
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.11ms
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 6.35ms
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 1.17ms
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,phases   ] GC(1)   Other: 0.11ms
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,heap     ] GC(1) Eden regions: 17->0(64)
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,heap     ] GC(1) Survivor regions: 2->2(3)
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,heap     ] GC(1) Old regions: 2->4
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[2026-04-03T00:58:54.675+0600][1.071s][info][gc,metaspace] GC(1) Metaspace: 8604K(8832K)->8604K(8832K) NonClass: 7769K(7872K)->7769K(7872K) Class: 835K(960K)->835K(960K)
[2026-04-03T00:58:54.676+0600][1.071s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 39M->8M(248M) 8.256ms
[2026-04-03T00:58:54.676+0600][1.071s][info][gc,cpu      ] GC(1) User=0.04s Sys=0.01s Real=0.01s
[2026-04-03T00:58:55.463+0600][1.859s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:55.464+0600][1.859s][info][gc,task     ] GC(2) Using 5 workers of 10 for evacuation
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.21ms
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.17ms
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 18.02ms
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 1.17ms
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,phases   ] GC(2)   Other: 0.18ms
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,heap     ] GC(2) Eden regions: 64->0(66)
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,heap     ] GC(2) Survivor regions: 2->7(9)
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,heap     ] GC(2) Old regions: 4->4
[2026-04-03T00:58:55.483+0600][1.879s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[2026-04-03T00:58:55.484+0600][1.879s][info][gc,metaspace] GC(2) Metaspace: 8746K(8960K)->8746K(8960K) NonClass: 7903K(8000K)->7903K(8000K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:55.484+0600][1.879s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 136M->19M(248M) 20.087ms
[2026-04-03T00:58:55.484+0600][1.879s][info][gc,cpu      ] GC(2) User=0.12s Sys=0.02s Real=0.02s
[2026-04-03T00:58:55.806+0600][2.201s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:55.806+0600][2.202s][info][gc,task     ] GC(3) Using 5 workers of 10 for evacuation
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.26ms
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.13ms
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 27.72ms
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.77ms
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,phases   ] GC(3)   Other: 0.14ms
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,heap     ] GC(3) Eden regions: 66->0(67)
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,heap     ] GC(3) Survivor regions: 7->6(10)
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,heap     ] GC(3) Old regions: 4->10
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,metaspace] GC(3) Metaspace: 8782K(9024K)->8782K(9024K) NonClass: 7939K(8064K)->7939K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T00:58:55.835+0600][2.231s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 151M->30M(248M) 29.381ms
[2026-04-03T00:58:55.835+0600][2.231s][info][gc,cpu      ] GC(3) User=0.15s Sys=0.03s Real=0.03s
[2026-04-03T00:58:56.063+0600][2.459s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T00:58:56.063+0600][2.459s][info][gc,task     ] GC(4) Using 5 workers of 10 for evacuation
[2026-04-03T00:58:56.081+0600][2.476s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.26ms
[2026-04-03T00:58:56.081+0600][2.476s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.21ms
[2026-04-03T00:58:56.081+0600][2.476s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 15.84ms
[2026-04-03T00:58:56.081+0600][2.476s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.87ms
[2026-04-03T00:58:56.081+0600][2.476s][info][gc,phases   ] GC(4)   Other: 0.17ms
[2026-04-03T00:58:56.081+0600][2.476s][info][gc,heap     ] GC(4) Eden regions: 67->0(63)
[2026-04-03T00:58:56.081+0600][2.477s][info][gc,heap     ] GC(4) Survivor regions: 6->10(10)
[2026-04-03T00:58:56.081+0600][2.477s][info][gc,heap     ] GC(4) Old regions: 10->10
[2026-04-03T00:58:56.081+0600][2.477s][info][gc,heap     ] GC(4) Humongous regions: 0->0
