[2026-04-03T06:30:00.178+0600][0.006s][info][gc,init] CardTable entry size: 512
[2026-04-03T06:30:00.178+0600][0.007s][info][gc     ] Using G1
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Version: 21.0.10+7-Ubuntu-124.04 (release)
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] CPUs: 12 total, 12 available
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Memory: 15683M
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Large Page Support: Disabled
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] NUMA Support: Disabled
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Compressed Oops: Enabled (Zero based)
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Heap Region Size: 2M
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Heap Min Capacity: 8M
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Heap Initial Capacity: 246M
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Heap Max Capacity: 3922M
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Pre-touch: Disabled
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Parallel Workers: 10
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Concurrent Workers: 3
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Concurrent Refinement Workers: 10
[2026-04-03T06:30:00.182+0600][0.010s][info][gc,init] Periodic GC: Disabled
[2026-04-03T06:30:00.197+0600][0.025s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000785f73000000-0x0000785f73c9c000-0x0000785f73c9c000), size 13221888, SharedBaseAddress: 0x0000785f73000000, ArchiveRelocationMode: 1.
[2026-04-03T06:30:00.197+0600][0.026s][info][gc,metaspace] Compressed class space mapped at: 0x0000785f74000000-0x0000785fb4000000, reserved size: 1073741824
[2026-04-03T06:30:00.197+0600][0.026s][info][gc,metaspace] Narrow klass base: 0x0000785f73000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-04-03T06:30:00.954+0600][0.783s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:00.955+0600][0.784s][info][gc,task     ] GC(0) Using 5 workers of 10 for evacuation
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.20ms
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.13ms
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 3.34ms
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.84ms
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,phases   ] GC(0)   Other: 0.70ms
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,heap     ] GC(0) Eden regions: 11->0(17)
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,heap     ] GC(0) Survivor regions: 0->2(2)
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,heap     ] GC(0) Old regions: 1->2
[2026-04-03T06:30:00.960+0600][0.788s][info][gc,heap     ] GC(0) Humongous regions: 0->0
