suite,benchmark,gc_name,method,energy_pkg_joules,energy_cores_joules,energy_uncore_joules,total_energy_joules,avg_power_watts,wall_time_ms,wall_time_sec
dacapo,avrora,g1gc,rapl_sysfs,83.1185,0.0000,0.0000,83.1185,6.7957,12231.0000,12.2310
dacapo,avrora,shenandoah,rapl_sysfs,78.7801,0.0000,0.0000,78.7801,7.2843,10815.0000,10.8150
dacapo,avrora,zgc,rapl_sysfs,86.1908,0.0000,0.0000,86.1908,7.0440,12236.0000,12.2360
dacapo,batik,g1gc,rapl_sysfs,47.8738,0.0000,0.0000,47.8738,7.7154,6205.0000,6.2050
dacapo,batik,shenandoah,rapl_sysfs,50.5272,0.0000,0.0000,50.5272,7.6164,6634.0000,6.6340
dacapo,batik,zgc,rapl_sysfs,48.7913,0.0000,0.0000,48.7913,7.4005,6593.0000,6.5930
dacapo,fop,g1gc,rapl_sysfs,58.9821,0.0000,0.0000,58.9821,9.7507,6049.0000,6.0490
dacapo,fop,shenandoah,rapl_sysfs,62.9477,0.0000,0.0000,62.9477,9.6768,6505.0000,6.5050
dacapo,fop,zgc,rapl_sysfs,61.8895,0.0000,0.0000,61.8895,9.3418,6625.0000,6.6250
dacapo,h2,g1gc,rapl_sysfs,412.5424,0.0000,0.0000,412.5424,8.6616,47629.0000,47.6290
dacapo,h2,shenandoah,rapl_sysfs,605.5962,0.0000,0.0000,605.5962,8.9924,67345.0000,67.3450
dacapo,h2,zgc,rapl_sysfs,520.7200,0.0000,0.0000,520.7200,8.0782,64460.0000,64.4600
dacapo,luindex,g1gc,rapl_sysfs,261.8417,0.0000,0.0000,261.8417,7.3879,35442.0000,35.4420
dacapo,luindex,shenandoah,rapl_sysfs,279.2487,0.0000,0.0000,279.2487,7.5761,36859.0000,36.8590
dacapo,luindex,zgc,rapl_sysfs,285.4824,0.0000,0.0000,285.4824,7.7909,36643.0000,36.6430
dacapo,lusearch,g1gc,rapl_sysfs,195.7370,0.0000,0.0000,195.7370,9.7010,20177.0000,20.1770
dacapo,lusearch,shenandoah,rapl_sysfs,222.6632,0.0000,0.0000,222.6632,9.7874,22750.0000,22.7500
dacapo,lusearch,zgc,rapl_sysfs,193.7443,0.0000,0.0000,193.7443,9.6554,20066.0000,20.0660
dacapo,pmd,g1gc,rapl_sysfs,119.2906,0.0000,0.0000,119.2906,9.1502,13037.0000,13.0370
dacapo,pmd,shenandoah,rapl_sysfs,131.2483,0.0000,0.0000,131.2483,9.3568,14027.0000,14.0270
dacapo,pmd,zgc,rapl_sysfs,134.3656,0.0000,0.0000,134.3656,9.3381,14389.0000,14.3890
dacapo,sunflow,g1gc,rapl_sysfs,172.0635,0.0000,0.0000,172.0635,10.8756,15821.0000,15.8210
