gcLogFile; g1gc.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 28; M
totalHeapUsedMaxpc; 11.3; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 2,048; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 26; M
freedMemoryByFullGCpc; 23.6; %
avgFreedMemoryByFullGC; 26; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 3,686.4; K
avgfootprintAfterGCσ; 915.893; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 84; M
freedMemoryByGCpc; 76.4; %
avgFreedMemoryByGC; 16.8; M/coll
avgFreedMemoryByGCσ; 2,335.079; K/coll
avgFreedMemoryByGCisSig; true; bool
avgPromotion; -17,616,077; B
promotionTotal; -88,080,384; B
pauseCount; 6; -
avgPauseIsSig; false; bool
avgPause; 0.00492; s
avgPauseσ; 0.00365; s
minPause; 0.0025; s
maxPause; 0.0122; s
gcPauseCount; 5; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00346; s
avgGCPauseσ; 0.00085; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.0122; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.0122; s
maxFullGCPause; 0.0122; s
accumPause; 0.03; s
fullGCPause; 0.01; s
fullGCPausePc; 41.4; %
gcPause; 0.02; s
gcPausePc; 58.6; %
footprint; 248; M
freedMemory; 110; M
throughput; 99.64; %
totalTime; 8; s
freedMemoryPerMin; 806.326; M/min
gcPerformance; 4,853.527; M/s
fullGCPerformance; 2,130.449; M/s
