gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 29; M
totalHeapUsedMaxpc; 11.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 2,048; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 27; M
freedMemoryByFullGCpc; 24.3; %
avgFreedMemoryByFullGC; 27; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 3,686.4; K
avgfootprintAfterGCσ; 915.893; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 84; M
freedMemoryByGCpc; 75.7; %
avgFreedMemoryByGC; 16.8; M/coll
avgFreedMemoryByGCσ; 2,335.079; K/coll
avgFreedMemoryByGCisSig; true; bool
avgPromotion; -17,616,077; B
promotionTotal; -88,080,384; B
pauseCount; 6; -
avgPauseIsSig; false; bool
avgPause; 0.00521; s
avgPauseσ; 0.00518; s
minPause; 0.0021; s
maxPause; 0.01551; s
gcPauseCount; 5; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00315; s
avgGCPauseσ; 0.00131; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01551; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01551; s
maxFullGCPause; 0.01551; s
accumPause; 0.03; s
fullGCPause; 0.02; s
fullGCPausePc; 49.6; %
gcPause; 0.02; s
gcPausePc; 50.4; %
footprint; 248; M
freedMemory; 111; M
throughput; 99.56; %
totalTime; 7; s
freedMemoryPerMin; 937.979; M/min
gcPerformance; 5,329.949; M/s
fullGCPerformance; 1,740.364; M/s
