gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 246; M
totalHeapUsedMax; 58; M
totalHeapUsedMaxpc; 23.6; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 6,144; K
avgfootprintAfterGCσ; 0; B
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 52; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 52; M/coll
avgFreedMemoryByGCσ; 0; B/coll
avgFreedMemoryByGCisSig; true; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 1; -
avgPauseIsSig; true; bool
avgPause; 0.00005; s
avgPauseσ; 0; s
minPause; 0.00005; s
maxPause; 0.00005; s
gcPauseCount; 1; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00005; s
avgGCPauseσ; 0; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 246; M
freedMemory; 52; M
throughput; 99.64; %
totalTime; 0; s
freedMemoryPerMin; 239,135.433; M/min
gcPerformance; 1,106,382.979; M/s
fullGCPerformance; n.a.; M/s
