gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 1,176; M
totalHeapUsedMax; 218; M
totalHeapUsedMaxpc; 18.5; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 6,144; K
freedMemoryByFullGCpc; 3.9; %
avgFreedMemoryByFullGC; 6,144; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 55.7; M
avgfootprintAfterGCσ; 52.632; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 149; M
freedMemoryByGCpc; 96.1; %
avgFreedMemoryByGC; 7,628.8; K/coll
avgFreedMemoryByGCσ; 10.875; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -8,679,879; B
promotionTotal; -156,237,824; B
pauseCount; 21; -
avgPauseIsSig; false; bool
avgPause; 0.00995; s
avgPauseσ; 0.00558; s
minPause; 0.00022; s
maxPause; 0.02313; s
gcPauseCount; 20; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00991; s
avgGCPauseσ; 0.00573; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01082; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01082; s
maxFullGCPause; 0.01082; s
accumPause; 0.21; s
fullGCPause; 0.01; s
fullGCPausePc; 5.2; %
gcPause; 0.2; s
gcPausePc; 94.8; %
footprint; 1,176; M
freedMemory; 155; M
throughput; 93.2; %
totalTime; 3; s
freedMemoryPerMin; 3,026.184; M/min
gcPerformance; 751.667; M/s
fullGCPerformance; 554.631; M/s
