gcLogFile; g1gc.log; -
totalHeapAllocMax; 140; M
totalHeapUsedMax; 63; M
totalHeapUsedMaxpc; 45.0; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 9,216; K
freedMemoryByFullGCpc; 2.3; %
avgFreedMemoryByFullGC; 9,216; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 10.867; M
avgfootprintAfterGCσ; 3,809.238; K
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 385; M
freedMemoryByGCpc; 97.7; %
avgFreedMemoryByGC; 25.667; M/coll
avgFreedMemoryByGCσ; 20.131; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -31,053,982; B
promotionTotal; -403,701,760; B
pauseCount; 16; -
avgPauseIsSig; false; bool
avgPause; 0.00688; s
avgPauseσ; 0.00394; s
minPause; 0.00018; s
maxPause; 0.01575; s
gcPauseCount; 15; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00662; s
avgGCPauseσ; 0.00394; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01076; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01076; s
maxFullGCPause; 0.01076; s
accumPause; 0.11; s
fullGCPause; 0.01; s
fullGCPausePc; 9.8; %
gcPause; 0.1; s
gcPausePc; 90.2; %
footprint; 140; M
freedMemory; 394; M
throughput; 98.09; %
totalTime; 5; s
freedMemoryPerMin; 4,111.343; M/min
gcPerformance; 3,876.75; M/s
fullGCPerformance; 836.742; M/s
