gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 140; M
totalHeapUsedMax; 59; M
totalHeapUsedMaxpc; 42.1; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 8,192; K
freedMemoryByFullGCpc; 2.2; %
avgFreedMemoryByFullGC; 8,192; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 10.286; M
avgfootprintAfterGCσ; 4,045.046; K
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 357; M
freedMemoryByGCpc; 97.8; %
avgFreedMemoryByGC; 25.5; M/coll
avgFreedMemoryByGCσ; 20.091; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -31,195,136; B
promotionTotal; -374,341,632; B
pauseCount; 15; -
avgPauseIsSig; false; bool
avgPause; 0.00682; s
avgPauseσ; 0.00412; s
minPause; 0.00014; s
maxPause; 0.01562; s
gcPauseCount; 14; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00653; s
avgGCPauseσ; 0.00412; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01078; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01078; s
maxFullGCPause; 0.01078; s
accumPause; 0.1; s
fullGCPause; 0.01; s
fullGCPausePc; 10.5; %
gcPause; 0.09; s
gcPausePc; 89.5; %
footprint; 140; M
freedMemory; 365; M
throughput; 98.06; %
totalTime; 5; s
freedMemoryPerMin; 4,156.982; M/min
gcPerformance; 3,902.919; M/s
fullGCPerformance; 741.977; M/s
