gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 140; M
totalHeapUsedMax; 63; M
totalHeapUsedMaxpc; 45.0; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 9,216; K
freedMemoryByFullGCpc; 2.3; %
avgFreedMemoryByFullGC; 9,216; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 10.933; M
avgfootprintAfterGCσ; 3,860.021; K
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 382; M
freedMemoryByGCpc; 97.7; %
avgFreedMemoryByGC; 25.467; M/coll
avgFreedMemoryByGCσ; 19.766; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -30,812,002; B
promotionTotal; -400,556,032; B
pauseCount; 16; -
avgPauseIsSig; false; bool
avgPause; 0.00609; s
avgPauseσ; 0.00319; s
minPause; 0.00032; s
maxPause; 0.0107; s
gcPauseCount; 15; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00584; s
avgGCPauseσ; 0.00313; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.00995; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.00995; s
maxFullGCPause; 0.00995; s
accumPause; 0.1; s
fullGCPause; 0.01; s
fullGCPausePc; 10.2; %
gcPause; 0.09; s
gcPausePc; 89.8; %
footprint; 140; M
freedMemory; 391; M
throughput; 98.11; %
totalTime; 5; s
freedMemoryPerMin; 4,555.385; M/min
gcPerformance; 4,364.318; M/s
fullGCPerformance; 904.432; M/s
