gcLogFile; shenandoah.log; -
totalHeapAllocMax; -2,199,023,255,552; B
totalHeapUsedMax; -2,199,023,255,552; B
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; n/a; M
totalPermUsedMax; n/a; M
totalPermUsedMaxpc; n/a; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 0; B
avgfootprintAfterGCσ; 0; B
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 0; B
freedMemoryByGCpc; NaN; %
avgFreedMemoryByGC; 0; B/coll
avgFreedMemoryByGCσ; 0; B/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 8; -
avgPauseIsSig; false; bool
avgPause; 0.00027; s
avgPauseσ; 0.00018; s
minPause; 0.00004; s
maxPause; 0.00049; s
gcPauseCount; 8; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00027; s
avgGCPauseσ; 0.00018; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; -2,199,023,255,552; B
freedMemory; 0; B
throughput; 99.9; %
totalTime; 2; s
freedMemoryPerMin; 0; B/min
gcPerformance; 0; B/s
fullGCPerformance; n.a.; M/s
