gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 398; M
totalHeapUsedMax; 398; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 66; M
avgfootprintAfterGCσ; 31.432; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 382; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 127.333; M/coll
avgFreedMemoryByGCσ; 150.43; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 3; -
avgPauseIsSig; false; bool
avgPause; 0.00005; s
avgPauseσ; 0.00002; s
minPause; 0.00004; s
maxPause; 0.00007; s
gcPauseCount; 3; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00005; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 398; M
freedMemory; 382; M
throughput; 100; %
totalTime; 5; s
freedMemoryPerMin; 4,344.141; M/min
gcPerformance; 2,358,024.691; M/s
fullGCPerformance; n.a.; M/s
