gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 1,978; M
totalHeapUsedMax; 1,515; M
totalHeapUsedMaxpc; 76.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 445; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 336; M
freedMemoryByFullGCpc; 1.0; %
avgFreedMemoryByFullGC; 336; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 448.363; M
avgfootprintAfterGCσ; 260.216; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 43.221; M/s
avgRelativePostGCInc; 19.996; M/coll
freedMemoryByGC; 33,141; M
freedMemoryByGCpc; 99.0; %
avgFreedMemoryByGC; 414.262; M/coll
avgFreedMemoryByGCσ; 308.564; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -454,888,825; B
promotionTotal; -34,571,550,720; B
pauseCount; 81; -
avgPauseIsSig; false; bool
avgPause; 0.03039; s
avgPauseσ; 0.04409; s
minPause; 0.00045; s
maxPause; 0.38994; s
gcPauseCount; 80; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0259; s
avgGCPauseσ; 0.01766; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.38994; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.38994; s
maxFullGCPause; 0.38994; s
accumPause; 2.46; s
fullGCPause; 0.39; s
fullGCPausePc; 15.8; %
gcPause; 2.07; s
gcPausePc; 84.2; %
footprint; 1,978; M
freedMemory; 33,477; M
throughput; 94.48; %
totalTime; 44; s
freedMemoryPerMin; 44,998.268; M/min
gcPerformance; 15,994.568; M/s
fullGCPerformance; 861.68; M/s
