gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 3,922; M
totalHeapUsedMax; 2,798; M
totalHeapUsedMaxpc; 71.3; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 1,638.667; M
avgfootprintAfterGCσ; 711.646; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 17,024; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 515.879; M/coll
avgFreedMemoryByGCσ; 549.307; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 33; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00004; s
minPause; 0.00004; s
maxPause; 0.00018; s
gcPauseCount; 33; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00004; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 3,922; M
freedMemory; 17,024; M
throughput; 100; %
totalTime; 60; s
freedMemoryPerMin; 16,903.124; M/min
gcPerformance; 6,206,343.42; M/s
fullGCPerformance; n.a.; M/s
