gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 174; M
totalHeapUsedMax; 129; M
totalHeapUsedMaxpc; 74.1; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 2,048; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 4,096; K
freedMemoryByFullGCpc; 0.2; %
avgFreedMemoryByFullGC; 4,096; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 39.176; M
avgfootprintAfterGCσ; 22.533; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 2,031; M
freedMemoryByGCpc; 99.8; %
avgFreedMemoryByGC; 59.735; M/coll
avgFreedMemoryByGCσ; 23.499; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -62,636,996; B
promotionTotal; -2,129,657,856; B
pauseCount; 35; -
avgPauseIsSig; false; bool
avgPause; 0.00275; s
avgPauseσ; 0.00142; s
minPause; 0.00146; s
maxPause; 0.01007; s
gcPauseCount; 34; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00253; s
avgGCPauseσ; 0.00063; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01007; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01007; s
maxFullGCPause; 0.01007; s
accumPause; 0.1; s
fullGCPause; 0.01; s
fullGCPausePc; 10.5; %
gcPause; 0.09; s
gcPausePc; 89.5; %
footprint; 174; M
freedMemory; 2,035; M
throughput; 99.01; %
totalTime; 9; s
freedMemoryPerMin; 12,580.344; M/min
gcPerformance; 23,584.741; M/s
fullGCPerformance; 397.259; M/s
