gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 142; M
totalHeapUsedMax; 129; M
totalHeapUsedMaxpc; 90.8; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 2,048; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 6,144; K
freedMemoryByFullGCpc; 0.3; %
avgFreedMemoryByFullGC; 6,144; K/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 28.8; M
avgfootprintAfterGCσ; 17.529; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 2,040; M
freedMemoryByGCpc; 99.7; %
avgFreedMemoryByGC; 58.286; M/coll
avgFreedMemoryByGCσ; 27.378; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -63,740,711; B
promotionTotal; -2,103,443,456; B
pauseCount; 36; -
avgPauseIsSig; false; bool
avgPause; 0.00276; s
avgPauseσ; 0.00142; s
minPause; 0.00025; s
maxPause; 0.00939; s
gcPauseCount; 35; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00257; s
avgGCPauseσ; 0.00086; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.00939; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.00939; s
maxFullGCPause; 0.00939; s
accumPause; 0.1; s
fullGCPause; 0.01; s
fullGCPausePc; 9.4; %
gcPause; 0.09; s
gcPausePc; 90.6; %
footprint; 142; M
freedMemory; 2,046; M
throughput; 98.96; %
totalTime; 9; s
freedMemoryPerMin; 12,794.505; M/min
gcPerformance; 22,645.782; M/s
fullGCPerformance; 638.706; M/s
