gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 800; M
totalHeapUsedMax; 800; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 56.667; M
avgfootprintAfterGCσ; 43.924; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 1,040; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 346.667; M/coll
avgFreedMemoryByGCσ; 358.119; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 3; -
avgPauseIsSig; true; bool
avgPause; 0.00003; s
avgPauseσ; 0; s
minPause; 0.00003; s
maxPause; 0.00003; s
gcPauseCount; 3; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00003; s
avgGCPauseσ; 0; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 800; M
freedMemory; 1,040; M
throughput; 100; %
totalTime; 5; s
freedMemoryPerMin; 10,981.993; M/min
gcPerformance; 11,555,555.556; M/s
fullGCPerformance; n.a.; M/s
