gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 516; M
totalHeapUsedMax; 323; M
totalHeapUsedMaxpc; 62.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 102; M
freedMemoryByFullGCpc; 0.4; %
avgFreedMemoryByFullGC; 102; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 16.316; M
avgfootprintAfterGCσ; 2,898.537; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 23,263; M
freedMemoryByGCpc; 99.6; %
avgFreedMemoryByGC; 237.378; M/coll
avgFreedMemoryByGCσ; 100.911; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -254,093,995; B
promotionTotal; -24,393,023,488; B
pauseCount; 99; -
avgPauseIsSig; false; bool
avgPause; 0.00313; s
avgPauseσ; 0.00146; s
minPause; 0.00011; s
maxPause; 0.01061; s
gcPauseCount; 98; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00305; s
avgGCPauseσ; 0.00125; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01061; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01061; s
maxFullGCPause; 0.01061; s
accumPause; 0.31; s
fullGCPause; 0.01; s
fullGCPausePc; 3.4; %
gcPause; 0.3; s
gcPausePc; 96.6; %
footprint; 516; M
freedMemory; 23,365; M
throughput; 98.2; %
totalTime; 17; s
freedMemoryPerMin; 81,480.115; M/min
gcPerformance; 77,825.32; M/s
fullGCPerformance; 9,615.385; M/s
