gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 3,526; M
totalHeapUsedMax; 3,322; M
totalHeapUsedMaxpc; 94.2; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 142.308; M
avgfootprintAfterGCσ; 74.193; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 24,372; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 1,874.769; M/coll
avgFreedMemoryByGCσ; 1,161.279; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 13; -
avgPauseIsSig; true; bool
avgPause; 0.00007; s
avgPauseσ; 0.00001; s
minPause; 0.00004; s
maxPause; 0.00008; s
gcPauseCount; 13; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00007; s
avgGCPauseσ; 0.00001; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 3,526; M
freedMemory; 24,372; M
throughput; 100; %
totalTime; 18; s
freedMemoryPerMin; 80,528.482; M/min
gcPerformance; 28,740,566.038; M/s
fullGCPerformance; n.a.; M/s
