gcLogFile; g1gc.log; -
totalHeapAllocMax; 1,010; M
totalHeapUsedMax; 700; M
totalHeapUsedMaxpc; 69.3; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 28; M
freedMemoryByFullGCpc; 0.6; %
avgFreedMemoryByFullGC; 28; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 109.114; M
avgfootprintAfterGCσ; 94.524; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 4,647; M
freedMemoryByGCpc; 99.4; %
avgFreedMemoryByGC; 132.771; M/coll
avgFreedMemoryByGCσ; 130.681; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -147,658,566; B
promotionTotal; -4,872,732,672; B
pauseCount; 36; -
avgPauseIsSig; false; bool
avgPause; 0.01411; s
avgPauseσ; 0.01007; s
minPause; 0.00032; s
maxPause; 0.0368; s
gcPauseCount; 35; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0141; s
avgGCPauseσ; 0.01022; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01459; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01459; s
maxFullGCPause; 0.01459; s
accumPause; 0.51; s
fullGCPause; 0.01; s
fullGCPausePc; 2.9; %
gcPause; 0.49; s
gcPausePc; 97.1; %
footprint; 1,010; M
freedMemory; 4,675; M
throughput; 95.81; %
totalTime; 12; s
freedMemoryPerMin; 23,125.264; M/min
gcPerformance; 9,417.73; M/s
fullGCPerformance; 1,919.123; M/s
