gcLogFile; g1gc.log; -
totalHeapAllocMax; 426; M
totalHeapUsedMax; 276; M
totalHeapUsedMaxpc; 64.8; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 14; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 18; M
freedMemoryByFullGCpc; 0.1; %
avgFreedMemoryByFullGC; 18; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 25.512; M
avgfootprintAfterGCσ; 1,909.241; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 18,369; M
freedMemoryByGCpc; 99.9; %
avgFreedMemoryByGC; 213.593; M/coll
avgFreedMemoryByGCσ; 66.42; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -223,968,518; B
promotionTotal; -19,261,292,544; B
pauseCount; 87; -
avgPauseIsSig; false; bool
avgPause; 0.00315; s
avgPauseσ; 0.0011; s
minPause; 0.00126; s
maxPause; 0.01105; s
gcPauseCount; 86; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00306; s
avgGCPauseσ; 0.00069; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01105; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01105; s
maxFullGCPause; 0.01105; s
accumPause; 0.27; s
fullGCPause; 0.01; s
fullGCPausePc; 4.0; %
gcPause; 0.26; s
gcPausePc; 96.0; %
footprint; 426; M
freedMemory; 18,387; M
throughput; 98.39; %
totalTime; 17; s
freedMemoryPerMin; 64,882.863; M/min
gcPerformance; 69,896.196; M/s
fullGCPerformance; 1,628.517; M/s
