gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 408; M
totalHeapUsedMax; 266; M
totalHeapUsedMaxpc; 65.2; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 14; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 16; M
freedMemoryByFullGCpc; 0.1; %
avgFreedMemoryByFullGC; 16; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 25.4; M
avgfootprintAfterGCσ; 2,342.132; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; -0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 18,126; M
freedMemoryByGCpc; 99.9; %
avgFreedMemoryByGC; 201.4; M/coll
avgFreedMemoryByGCσ; 68.48; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -211,183,206; B
promotionTotal; -19,006,488,576; B
pauseCount; 91; -
avgPauseIsSig; false; bool
avgPause; 0.00322; s
avgPauseσ; 0.00105; s
minPause; 0.00204; s
maxPause; 0.01146; s
gcPauseCount; 90; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00313; s
avgGCPauseσ; 0.00058; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01146; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01146; s
maxFullGCPause; 0.01146; s
accumPause; 0.29; s
fullGCPause; 0.01; s
fullGCPausePc; 3.9; %
gcPause; 0.28; s
gcPausePc; 96.1; %
footprint; 408; M
freedMemory; 18,142; M
throughput; 98.28; %
totalTime; 17; s
freedMemoryPerMin; 63,730.515; M/min
gcPerformance; 64,369.498; M/s
fullGCPerformance; 1,395.795; M/s
