gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 3,636; M
totalHeapUsedMax; 3,482; M
totalHeapUsedMaxpc; 95.8; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 119.5; M
avgfootprintAfterGCσ; 67.762; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 15,424; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 1,928; M/coll
avgFreedMemoryByGCσ; 1,463.676; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 8; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00002; s
minPause; 0.00003; s
maxPause; 0.00009; s
gcPauseCount; 8; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 3,636; M
freedMemory; 15,424; M
throughput; 100; %
totalTime; 16; s
freedMemoryPerMin; 56,981.516; M/min
gcPerformance; 34,817,155.756; M/s
fullGCPerformance; n.a.; M/s
