gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 135; M
totalHeapUsedMaxpc; 54.4; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 9,216; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 126; M
freedMemoryByFullGCpc; 2.2; %
avgFreedMemoryByFullGC; 126; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 16.173; M
avgfootprintAfterGCσ; 3,073.722; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 5,514; M
freedMemoryByGCpc; 97.8; %
avgFreedMemoryByGC; 73.52; M/coll
avgFreedMemoryByGCσ; 28.319; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -79,203,398; B
promotionTotal; -5,781,848,064; B
pauseCount; 76; -
avgPauseIsSig; false; bool
avgPause; 0.00391; s
avgPauseσ; 0.00583; s
minPause; 0.00038; s
maxPause; 0.0517; s
gcPauseCount; 75; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00327; s
avgGCPauseσ; 0.00178; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.0517; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.0517; s
maxFullGCPause; 0.0517; s
accumPause; 0.3; s
fullGCPause; 0.05; s
fullGCPausePc; 17.4; %
gcPause; 0.25; s
gcPausePc; 82.6; %
footprint; 248; M
freedMemory; 5,640; M
throughput; 98.86; %
totalTime; 26; s
freedMemoryPerMin; 12,996.618; M/min
gcPerformance; 22,463.579; M/s
fullGCPerformance; 2,436.996; M/s
