gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 107; M
totalHeapUsedMaxpc; 43.1; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 9,216; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 95; M
freedMemoryByFullGCpc; 1.7; %
avgFreedMemoryByFullGC; 95; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 16.351; M
avgfootprintAfterGCσ; 2,270.165; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 2,698.287; K/s
avgRelativePostGCInc; 4,096; K/coll
freedMemoryByGC; 5,581; M
freedMemoryByGCpc; 98.3; %
avgFreedMemoryByGC; 72.481; M/coll
avgFreedMemoryByGCσ; 26.365; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -78,028,035; B
promotionTotal; -5,852,102,656; B
pauseCount; 78; -
avgPauseIsSig; false; bool
avgPause; 0.00419; s
avgPauseσ; 0.00541; s
minPause; 0.00017; s
maxPause; 0.04083; s
gcPauseCount; 77; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00371; s
avgGCPauseσ; 0.00342; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.04083; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.04083; s
maxFullGCPause; 0.04083; s
accumPause; 0.33; s
fullGCPause; 0.04; s
fullGCPausePc; 12.5; %
gcPause; 0.29; s
gcPausePc; 87.5; %
footprint; 248; M
freedMemory; 5,676; M
throughput; 98.68; %
totalTime; 24; s
freedMemoryPerMin; 13,735.885; M/min
gcPerformance; 19,529.487; M/s
fullGCPerformance; 2,326.493; M/s
