gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 2,480; M
totalHeapUsedMax; 2,480; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 70; M
avgfootprintAfterGCσ; 26.981; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 4,860; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 810; M/coll
avgFreedMemoryByGCσ; 861.313; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 6; -
avgPauseIsSig; true; bool
avgPause; 0.00006; s
avgPauseσ; 0.00001; s
minPause; 0.00004; s
maxPause; 0.00008; s
gcPauseCount; 6; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00001; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 2,480; M
freedMemory; 4,860; M
throughput; 100; %
totalTime; 17; s
freedMemoryPerMin; 16,423.485; M/min
gcPerformance; 12,857,142.857; M/s
fullGCPerformance; n.a.; M/s
