gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 360; M
totalHeapUsedMax; 219; M
totalHeapUsedMaxpc; 60.8; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,072; K
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 15; M
freedMemoryByFullGCpc; 0.3; %
avgFreedMemoryByFullGC; 15; M/coll
avgFreedMemoryByFullGCσ; 0; B/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; n.a.; M/s
avgRelativePostFullGCInc; n.a.; M/coll
avgfootprintAfterGC; 7,362.207; K
avgfootprintAfterGCσ; 1,527.977; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 4,565; M
freedMemoryByGCpc; 99.7; %
avgFreedMemoryByGC; 78.707; M/coll
avgFreedMemoryByGCσ; 52.17; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -85,477,669; B
promotionTotal; -4,786,749,440; B
pauseCount; 59; -
avgPauseIsSig; false; bool
avgPause; 0.00374; s
avgPauseσ; 0.00229; s
minPause; 0.00027; s
maxPause; 0.01392; s
gcPauseCount; 58; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00356; s
avgGCPauseσ; 0.00186; s
fullGcPauseCount; 1; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01392; s
avgFullGCPauseσ; 0; s
minFullGCPause; 0.01392; s
maxFullGCPause; 0.01392; s
accumPause; 0.22; s
fullGCPause; 0.01; s
fullGCPausePc; 6.3; %
gcPause; 0.21; s
gcPausePc; 93.7; %
footprint; 360; M
freedMemory; 4,580; M
throughput; 97.98; %
totalTime; 10; s
freedMemoryPerMin; 25,201.83; M/min
gcPerformance; 22,080.447; M/s
fullGCPerformance; 1,077.586; M/s
