gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 3,418; M
totalHeapUsedMax; 3,418; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 68.4; M
avgfootprintAfterGCσ; 51.911; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 5,552; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 1,110.4; M/coll
avgFreedMemoryByGCσ; 1,291.524; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 5; -
avgPauseIsSig; false; bool
avgPause; 0.00009; s
avgPauseσ; 0.00007; s
minPause; 0.00003; s
maxPause; 0.00021; s
gcPauseCount; 5; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00009; s
avgGCPauseσ; 0.00007; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 3,418; M
freedMemory; 5,552; M
throughput; 100; %
totalTime; 9; s
freedMemoryPerMin; 35,593.326; M/min
gcPerformance; 12,911,627.907; M/s
fullGCPerformance; n.a.; M/s
