gcLogFile; g1gc_2000M.log; -
totalHeapAllocMax; 888; M
totalHeapUsedMax; 708; M
totalHeapUsedMaxpc; 79.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
avgfootprintAfterFullGC; 127.667; M
avgfootprintAfterFullGCσ; 85.448; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 707; M
freedMemoryByFullGCpc; 10.1; %
avgFreedMemoryByFullGC; 235.667; M/coll
avgFreedMemoryByFullGCσ; 44.736; M/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; 25.524; M/s
avgRelativePostFullGCInc; 74; M/coll
avgfootprintAfterGC; 80.727; M
avgfootprintAfterGCσ; 64.729; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 28.316; M/s
avgRelativePostGCInc; 7,736.907; K/coll
freedMemoryByGC; 6,279; M
freedMemoryByGCpc; 89.9; %
avgFreedMemoryByGC; 142.705; M/coll
avgFreedMemoryByGCσ; 138.973; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 156.240; M
promotionTotal; 6,101.856; M
pauseCount; 47; -
avgPauseIsSig; false; bool
avgPause; 0.01482; s
avgPauseσ; 0.01841; s
minPause; 0.00024; s
maxPause; 0.09457; s
gcPauseCount; 44; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01112; s
avgGCPauseσ; 0.00926; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.0691; s
avgFullGCPauseσ; 0.03515; s
minFullGCPause; 0.02899; s
maxFullGCPause; 0.09457; s
accumPause; 0.7; s
fullGCPause; 0.21; s
fullGCPausePc; 29.8; %
gcPause; 0.49; s
gcPausePc; 70.2; %
footprint; 888; M
freedMemory; 6,986; M
throughput; 96.28; %
totalTime; 18; s
freedMemoryPerMin; 22,413.83; M/min
gcPerformance; 12,834.559; M/s
fullGCPerformance; 3,410.763; M/s
