gcLogFile; shenandoah_500M.log; -
totalHeapAllocMax; 500; M
totalHeapUsedMax; 287; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 90.424; M
avgfootprintAfterGCσ; 56.004; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 10.842; M/s
avgRelativePostGCInc; 1,679.037; K/coll
freedMemoryByGC; 1,682; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 8.760; M/coll
avgFreedMemoryByGCσ; 4.798; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 192; -
avgPauseIsSig; false; bool
avgPause; 0.00026; s
avgPauseσ; 0.00023; s
minPause; 0.00004; s
maxPause; 0.00101; s
gcPauseCount; 192; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00026; s
avgGCPauseσ; 0.00023; s
avgFullGCPause; 0; s
accumPause; 0.05; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.05; s
gcPausePc; 100.0; %
footprint; 500; M
freedMemory; 1,682; M
throughput; 99.78; %
totalTime; 22; s
freedMemoryPerMin; 4,587.273; M/min
gcPerformance; 33,640.000; M/s
fullGCPerformance; 0; M/s
