gcLogFile; zgc_gen_1500M.log; -
totalHeapAllocMax; 1,500; M
totalHeapUsedMax; 1,031; M
totalHeapUsedMaxpc; 70.1; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M/coll
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
footprintAfterGC; 401.287; M
slopeAfterGC; 19.695; M/s
freedMemoryByGC; 6,184; M
avgFreedMemoryByGC; 103.067; M/coll
avgRelativePostGCInc; 4,918.878; K/coll
avgPromotion; 0; M
promotionTotal; 0; M
avgPause; 0.00004; s
minPause; 0.00002; s
maxPause; 0.00016; s
avgGCPause; 0.00004; s
avgFullGCPause; 0; s
accumPause; 0.00000; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.00000; s
gcPausePc; 100.0; %
footprint; 1,500; M
freedMemory; 6,184; M
throughput; 100.09; %
totalTime; 18; s
freedMemoryPerMin; 20,613.333; M/min
gcPerformance; 3,034,937.214; M/s
fullGCPerformance; 0; M/s
