gcLogFile; zgc_gen_750M.log; -
totalHeapAllocMax; 750; M
totalHeapUsedMax; 544; M
totalHeapUsedMaxpc; 66.9; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M/coll
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
footprintAfterGC; 200.826; M
slopeAfterGC; 17.532; M/s
freedMemoryByGC; 3,287; M
avgFreedMemoryByGC; 71.457; M/coll
avgRelativePostGCInc; 2,602.115; K/coll
avgPromotion; 0; M
promotionTotal; 0; M
avgPause; 0.00004; s
minPause; 0.00002; s
maxPause; 0.00017; s
avgGCPause; 0.00004; s
avgFullGCPause; 0; s
accumPause; 0.00000; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.00000; s
gcPausePc; 100.0; %
footprint; 750; M
freedMemory; 3,287; M
throughput; 99.94; %
totalTime; 95; s
freedMemoryPerMin; 2,076.000; M/min
gcPerformance; 2,523,352.346; M/s
fullGCPerformance; 0; M/s
