gcLogFile; zgc_nogen_2000M.log; -
totalHeapAllocMax; 2,000; M
totalHeapUsedMax; 1,876; M
totalHeapUsedMaxpc; 93.8; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 404.99; M
avgfootprintAfterGCσ; 189.705; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 34.387; M/s
avgRelativePostGCInc; 7,578.089; K/coll
freedMemoryByGC; 68,528; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 692.202; M/coll
avgFreedMemoryByGCσ; 309.046; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 99; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00004; s
minPause; 0.00003; s
maxPause; 0.00026; s
gcPauseCount; 99; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00004; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 2,000; M
freedMemory; 68,528; M
throughput; 99.99; %
totalTime; 86; s
freedMemoryPerMin; 47,316.132; M/min
gcPerformance; 8,601,481.11; M/s
fullGCPerformance; 0; M/s
