gcLogFile; shenandoah_1750M.log; -
totalHeapAllocMax; 1,736; M
totalHeapUsedMax; 1,639; M
totalHeapUsedMaxpc; 94.4; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 4,933.271; K
avgfootprintAfterGCσ; 62.814; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 16.288; M/s
avgRelativePostGCInc; 4,987.010; K/coll
freedMemoryByGC; 820; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 4,939.294; K/coll
avgFreedMemoryByGCσ; 62.891; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 170; -
avgPauseIsSig; false; bool
avgPause; 0.00216; s
avgPauseσ; 0.01833; s
minPause; 0.00006; s
maxPause; 0.23633; s
gcPauseCount; 170; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00216; s
avgGCPauseσ; 0.01833; s
avgFullGCPause; 0; s
accumPause; 0.37; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.37; s
gcPausePc; 100.0; %
footprint; 1,736; M
freedMemory; 820; M
throughput; 99.35; %
totalTime; 56; s
freedMemoryPerMin; 870.332; M/min
gcPerformance; 2,228.019; M/s
fullGCPerformance; 0; M/s
