gcLogFile; shenandoah_500M.log; -
totalHeapAllocMax; 500; M
totalHeapUsedMax; 493; M
totalHeapUsedMaxpc; 98.6; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
avgfootprintAfterFullGC; 483.417; M
avgfootprintAfterFullGCσ; 5,726.95; K
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 4,096; K
freedMemoryByFullGCpc; 0.8; %
avgFreedMemoryByFullGC; 113.778; K/coll
avgFreedMemoryByFullGCσ; 326.377; K/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 14.874; K/s
avgRelativePostFullGCInc; 542.048; K/coll
avgfootprintAfterGC; 297.226; M
avgfootprintAfterGCσ; 235.458; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 2,636.918; K/s
avgRelativePostGCInc; 2,168.458; K/coll
freedMemoryByGC; 521; M
freedMemoryByGCpc; 99.2; %
avgFreedMemoryByGC; 2,232.234; K/coll
avgFreedMemoryByGCσ; 30.111; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 275; -
avgPauseIsSig; false; bool
avgPause; 4.83668; s
avgPauseσ; 3.71979; s
minPause; 0.00004; s
maxPause; 9.13045; s
gcPauseCount; 239; -
avgGCPauseIsSig; false; bool
avgGCPause; 4.94098; s
avgGCPauseσ; 3.97654; s
fullGcPauseCount; 36; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 4.14419; s
avgFullGCPauseσ; 0.47728; s
minFullGCPause; 3.13177; s
maxFullGCPause; 4.65724; s
accumPause; 1,330.09; s
fullGCPause; 149.19; s
fullGCPausePc; 11.2; %
gcPause; 1,180.9; s
gcPausePc; 88.8; %
footprint; 500; M
freedMemory; 525; M
throughput; 0.99; %
totalTime; 1343; s
freedMemoryPerMin; 23.447; M/min
gcPerformance; 451.779; K/s
fullGCPerformance; 27.455; K/s
