gcLogFile; zgc_gen_750M.log; -
totalHeapAllocMax; 750; M
totalHeapUsedMax; 521; M
totalHeapUsedMaxpc; 76.9; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M/coll
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
footprintAfterGC; 175.407; M
slopeAfterGC; 16.793; M/s
freedMemoryByGC; 2,740; M
avgFreedMemoryByGC; 65.238; M/coll
avgRelativePostGCInc; 2,477.416; K/coll
avgPromotion; 0; M
promotionTotal; 0; M
avgPause; 0.00005; s
minPause; 0.00002; s
maxPause; 0.00018; s
avgGCPause; 0.00005; s
avgFullGCPause; 0; s
accumPause; 0.00000; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.00000; s
gcPausePc; 100.0; %
footprint; 750; M
freedMemory; 2,740; M
throughput; 99.97; %
totalTime; 53; s
freedMemoryPerMin; 3,101.887; M/min
gcPerformance; 3,051,133.369; M/s
fullGCPerformance; 0; M/s
