gcLogFile; shenandoah.log; -
totalHeapAllocMax; -2,199,023,255,552; B
totalHeapUsedMax; -2,199,023,255,552; B
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; n/a; M
totalPermUsedMax; n/a; M
totalPermUsedMaxpc; n/a; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 0; B
avgfootprintAfterGCσ; 0; B
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 0; B
freedMemoryByGCpc; NaN; %
avgFreedMemoryByGC; 0; B/coll
avgFreedMemoryByGCσ; 0; B/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 42; -
avgPauseIsSig; false; bool
avgPause; 0.00032; s
avgPauseσ; 0.00028; s
minPause; 0.00007; s
maxPause; 0.00114; s
gcPauseCount; 42; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00032; s
avgGCPauseσ; 0.00028; s
avgFullGCPause; n.a.; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; -2,199,023,255,552; B
freedMemory; 0; B
throughput; 99.93; %
totalTime; 18; s
freedMemoryPerMin; 0; B/min
gcPerformance; 0; B/s
fullGCPerformance; n.a.; M/s
