gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 1,724; M
totalHeapUsedMax; 1,662; M
totalHeapUsedMaxpc; 96.4; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 206.2; M
avgfootprintAfterGCσ; 166.142; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 6,736; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 673.6; M/coll
avgFreedMemoryByGCσ; 496.224; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 10; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00002; s
minPause; 0.00003; s
maxPause; 0.00009; s
gcPauseCount; 10; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 1,724; M
freedMemory; 6,736; M
throughput; 100; %
totalTime; 20; s
freedMemoryPerMin; 19,610.778; M/min
gcPerformance; 10,952,845.528; M/s
fullGCPerformance; n.a.; M/s
