gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 558; M
totalHeapUsedMax; 456; M
totalHeapUsedMaxpc; 81.7; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 60; M
avgfootprintAfterFullGCσ; 21.656; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 426; M
freedMemoryByFullGCpc; 6.7; %
avgFreedMemoryByFullGC; 142; M/coll
avgFreedMemoryByFullGCσ; 95.142; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 2,793.218; K/s
avgRelativePostFullGCInc; 19; M/coll
avgfootprintAfterGC; 52; M
avgfootprintAfterGCσ; 30.137; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 5,603.736; K/s
avgRelativePostGCInc; 2,974.294; K/coll
freedMemoryByGC; 5,974; M
freedMemoryByGCpc; 93.3; %
avgFreedMemoryByGC; 121.918; M/coll
avgFreedMemoryByGCσ; 101.957; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -145,678,908; B
promotionTotal; -6,264,193,024; B
pauseCount; 52; -
avgPauseIsSig; false; bool
avgPause; 0.01229; s
avgPauseσ; 0.02391; s
minPause; 0.00017; s
maxPause; 0.14475; s
gcPauseCount; 49; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00696; s
avgGCPauseσ; 0.00443; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.0993; s
avgFullGCPauseσ; 0.04534; s
minFullGCPause; 0.05407; s
maxFullGCPause; 0.14475; s
accumPause; 0.64; s
fullGCPause; 0.3; s
fullGCPausePc; 46.6; %
gcPause; 0.34; s
gcPausePc; 53.4; %
footprint; 558; M
freedMemory; 6,400; M
throughput; 97.84; %
totalTime; 29; s
freedMemoryPerMin; 12,979.268; M/min
gcPerformance; 17,514.388; M/s
fullGCPerformance; 1,429.986; M/s
