gcLogFile; g1gc.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 145; M
totalHeapUsedMaxpc; 58.5; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 18; M
avgfootprintAfterFullGCσ; 11.269; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 208; M
freedMemoryByFullGCpc; 17.6; %
avgFreedMemoryByFullGC; 69.333; M/coll
avgFreedMemoryByFullGCσ; 15.503; M/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; 1,024.767; K/s
avgRelativePostFullGCInc; 10; M/coll
avgfootprintAfterGC; 35.946; M
avgfootprintAfterGCσ; 21.45; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 4,179.405; K/s
avgRelativePostGCInc; 3,641.304; K/coll
freedMemoryByGC; 975; M
freedMemoryByGCpc; 82.4; %
avgFreedMemoryByGC; 26.351; M/coll
avgFreedMemoryByGCσ; 25.863; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -37,865,244; B
promotionTotal; -1,022,361,600; B
pauseCount; 40; -
avgPauseIsSig; false; bool
avgPause; 0.01882; s
avgPauseσ; 0.01952; s
minPause; 0.0001; s
maxPause; 0.08992; s
gcPauseCount; 37; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01529; s
avgGCPauseσ; 0.01223; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.06235; s
avgFullGCPauseσ; 0.04079; s
minFullGCPause; 0.01549; s
maxFullGCPause; 0.08992; s
accumPause; 0.75; s
fullGCPause; 0.19; s
fullGCPausePc; 24.9; %
gcPause; 0.57; s
gcPausePc; 75.1; %
footprint; 248; M
freedMemory; 1,183; M
throughput; 97.16; %
totalTime; 26; s
freedMemoryPerMin; 2,677.199; M/min
gcPerformance; 1,723.888; M/s
fullGCPerformance; 1,112.079; M/s
