gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 147; M
totalHeapUsedMaxpc; 59.3; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 17.667; M
avgfootprintAfterFullGCσ; 10.97; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 245; M
freedMemoryByFullGCpc; 20.2; %
avgFreedMemoryByFullGC; 81.667; M/coll
avgFreedMemoryByFullGCσ; 2,131.626; K/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; 983.795; K/s
avgRelativePostFullGCInc; 9,728; K/coll
avgfootprintAfterGC; 40.196; M
avgfootprintAfterGCσ; 22.893; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 5,308.618; K/s
avgRelativePostGCInc; 3,040.153; K/coll
freedMemoryByGC; 965; M
freedMemoryByGCpc; 79.8; %
avgFreedMemoryByGC; 20.978; M/coll
avgFreedMemoryByGCσ; 23.323; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -31,621,120; B
promotionTotal; -1,011,875,840; B
pauseCount; 49; -
avgPauseIsSig; false; bool
avgPause; 0.01594; s
avgPauseσ; 0.0161; s
minPause; 0.00013; s
maxPause; 0.078; s
gcPauseCount; 46; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.01341; s
avgGCPauseσ; 0.01068; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.05472; s
avgFullGCPauseσ; 0.03539; s
minFullGCPause; 0.01399; s
maxFullGCPause; 0.078; s
accumPause; 0.78; s
fullGCPause; 0.16; s
fullGCPausePc; 21.0; %
gcPause; 0.62; s
gcPausePc; 79.0; %
footprint; 248; M
freedMemory; 1,210; M
throughput; 97.11; %
totalTime; 27; s
freedMemoryPerMin; 2,682.221; M/min
gcPerformance; 1,564.068; M/s
fullGCPerformance; 1,492.574; M/s
