gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 526; M
totalHeapUsedMax; 422; M
totalHeapUsedMaxpc; 80.2; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 70.286; M
avgfootprintAfterGCσ; 25.018; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 1,428; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 204; M/coll
avgFreedMemoryByGCσ; 130.894; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 7; -
avgPauseIsSig; true; bool
avgPause; 0.00004; s
avgPauseσ; 0.00001; s
minPause; 0.00004; s
maxPause; 0.00006; s
gcPauseCount; 7; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00004; s
avgGCPauseσ; 0.00001; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 526; M
freedMemory; 1,428; M
throughput; 100; %
totalTime; 19; s
freedMemoryPerMin; 4,284.634; M/min
gcPerformance; 4,857,142.857; M/s
fullGCPerformance; n.a.; M/s
