gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 2,004; M
totalHeapUsedMax; 1,539; M
totalHeapUsedMaxpc; 76.8; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 86.333; M
avgfootprintAfterFullGCσ; 8,276.893; K
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 455; M
freedMemoryByFullGCpc; 0.5; %
avgFreedMemoryByFullGC; 151.667; M/coll
avgFreedMemoryByFullGCσ; 82.815; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 287.718; K/s
avgRelativePostFullGCInc; 7,168; K/coll
avgfootprintAfterGC; 163.678; M
avgfootprintAfterGCσ; 126.932; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 4,883.459; K/s
avgRelativePostGCInc; 1,705.712; K/coll
freedMemoryByGC; 85,440; M
freedMemoryByGCpc; 99.5; %
avgFreedMemoryByGC; 200.563; M/coll
avgFreedMemoryByGCσ; 282.755; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -329,160,343; B
promotionTotal; -89,531,613,184; B
pauseCount; 429; -
avgPauseIsSig; false; bool
avgPause; 0.00718; s
avgPauseσ; 0.01395; s
minPause; 0.00015; s
maxPause; 0.16537; s
gcPauseCount; 426; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00619; s
avgGCPauseσ; 0.00737; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.14786; s
avgFullGCPauseσ; 0.01523; s
minFullGCPause; 0.13768; s
maxFullGCPause; 0.16537; s
accumPause; 3.08; s
fullGCPause; 0.44; s
fullGCPausePc; 14.4; %
gcPause; 2.64; s
gcPausePc; 85.6; %
footprint; 2,004; M
freedMemory; 85,895; M
throughput; 96.74; %
totalTime; 94; s
freedMemoryPerMin; 54,475.18; M/min
gcPerformance; 32,389.634; M/s
fullGCPerformance; 1,025.757; M/s
