gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 2,500; M
totalHeapUsedMax; 1,441; M
totalHeapUsedMaxpc; 57.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 85.667; M
avgfootprintAfterFullGCσ; 7,753.603; K
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 724; M
freedMemoryByFullGCpc; 0.9; %
avgFreedMemoryByFullGC; 241.333; M/coll
avgFreedMemoryByFullGCσ; 103.365; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 301.519; K/s
avgRelativePostFullGCInc; 7,168; K/coll
avgfootprintAfterGC; 177.447; M
avgfootprintAfterGCσ; 158.64; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 4,521.69; K/s
avgRelativePostGCInc; 1,744.053; K/coll
freedMemoryByGC; 84,252; M
freedMemoryByGCpc; 99.1; %
avgFreedMemoryByGC; 210.63; M/coll
avgFreedMemoryByGCσ; 292.415; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -342,356,000; B
promotionTotal; -88,327,847,936; B
pauseCount; 403; -
avgPauseIsSig; false; bool
avgPause; 0.00707; s
avgPauseσ; 0.01397; s
minPause; 0.00016; s
maxPause; 0.15129; s
gcPauseCount; 400; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00603; s
avgGCPauseσ; 0.00713; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.1457; s
avgFullGCPauseσ; 0.0073; s
minFullGCPause; 0.13745; s
maxFullGCPause; 0.15129; s
accumPause; 2.85; s
fullGCPause; 0.44; s
fullGCPausePc; 15.3; %
gcPause; 2.41; s
gcPausePc; 84.7; %
footprint; 2,500; M
freedMemory; 84,976; M
throughput; 96.81; %
totalTime; 89; s
freedMemoryPerMin; 57,146.615; M/min
gcPerformance; 34,934.969; M/s
fullGCPerformance; 1,656.326; M/s
