gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 2,128; M
totalHeapUsedMax; 1,672; M
totalHeapUsedMaxpc; 78.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 109.333; M
avgfootprintAfterFullGCσ; 68.705; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 3,155; M
freedMemoryByFullGCpc; 12.9; %
avgFreedMemoryByFullGC; 1,051.667; M/coll
avgFreedMemoryByFullGCσ; 292.069; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 3,166.064; K/s
avgRelativePostFullGCInc; 59.5; M/coll
avgfootprintAfterGC; 229.01; M
avgfootprintAfterGCσ; 251.536; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 39.226; M/s
avgRelativePostGCInc; 10.286; M/coll
freedMemoryByGC; 21,249; M
freedMemoryByGCpc; 87.1; %
avgFreedMemoryByGC; 108.413; M/coll
avgFreedMemoryByGCσ; 163.164; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -165,739,536; B
promotionTotal; -21,546,139,648; B
pauseCount; 199; -
avgPauseIsSig; false; bool
avgPause; 0.04889; s
avgPauseσ; 0.09427; s
minPause; 0.00019; s
maxPause; 0.50068; s
gcPauseCount; 196; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0481; s
avgGCPauseσ; 0.09457; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.10016; s
avgFullGCPauseσ; 0.06221; s
minFullGCPause; 0.04187; s
maxFullGCPause; 0.16566; s
accumPause; 9.73; s
fullGCPause; 0.3; s
fullGCPausePc; 3.1; %
gcPause; 9.43; s
gcPausePc; 96.9; %
footprint; 2,128; M
freedMemory; 24,404; M
throughput; 86.7; %
totalTime; 73; s
freedMemoryPerMin; 20,022.499; M/min
gcPerformance; 2,253.724; M/s
fullGCPerformance; 10,499.448; M/s
