gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 128; M
totalHeapUsedMaxpc; 51.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,754.667; K
avgfootprintAfterFullGCσ; 591.207; K
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 150; M
freedMemoryByFullGCpc; 1.3; %
avgFreedMemoryByFullGC; 50; M/coll
avgFreedMemoryByFullGCσ; 46.872; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 64.952; K/s
avgRelativePostFullGCInc; 512; K/coll
avgfootprintAfterGC; 4,065.882; K
avgfootprintAfterGCσ; 173.652; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; -0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 11,649; M
freedMemoryByGCpc; 98.7; %
avgFreedMemoryByGC; 85.654; M/coll
avgFreedMemoryByGCσ; 24.459; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -89,815,160; B
promotionTotal; -12,214,861,824; B
pauseCount; 139; -
avgPauseIsSig; false; bool
avgPause; 0.00209; s
avgPauseσ; 0.00199; s
minPause; 0.00109; s
maxPause; 0.01678; s
gcPauseCount; 136; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00183; s
avgGCPauseσ; 0.00091; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01379; s
avgFullGCPauseσ; 0.00273; s
minFullGCPause; 0.01142; s
maxFullGCPause; 0.01678; s
accumPause; 0.29; s
fullGCPause; 0.04; s
fullGCPausePc; 14.2; %
gcPause; 0.25; s
gcPausePc; 85.8; %
footprint; 248; M
freedMemory; 11,799; M
throughput; 98.78; %
totalTime; 23; s
freedMemoryPerMin; 29,721.793; M/min
gcPerformance; 46,678.902; M/s
fullGCPerformance; 3,626.517; M/s
