gcLogFile; g1gc_threads2.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 128; M
totalHeapUsedMaxpc; 51.6; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 3,754.667; K
avgfootprintAfterFullGCσ; 591.207; K
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 292; M
freedMemoryByFullGCpc; 2.1; %
avgFreedMemoryByFullGC; 97.333; M/coll
avgFreedMemoryByFullGCσ; 17.474; M/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; 68.429; K/s
avgRelativePostFullGCInc; 512; K/coll
avgfootprintAfterGC; 4,089.394; K
avgfootprintAfterGCσ; 142.769; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 0; B/s
avgRelativePostGCInc; 0; B/coll
freedMemoryByGC; 13,452; M
freedMemoryByGCpc; 97.9; %
avgFreedMemoryByGC; 86.787; M/coll
avgFreedMemoryByGCσ; 22.988; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -91,002,867; B
promotionTotal; -14,105,444,352; B
pauseCount; 158; -
avgPauseIsSig; false; bool
avgPause; 0.00182; s
avgPauseσ; 0.0021; s
minPause; 0.001; s
maxPause; 0.01908; s
gcPauseCount; 155; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00154; s
avgGCPauseσ; 0.00053; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.01601; s
avgFullGCPauseσ; 0.00386; s
minFullGCPause; 0.01168; s
maxFullGCPause; 0.01908; s
accumPause; 0.29; s
fullGCPause; 0.05; s
fullGCPausePc; 16.7; %
gcPause; 0.24; s
gcPausePc; 83.3; %
footprint; 248; M
freedMemory; 13,744; M
throughput; 98.78; %
totalTime; 23; s
freedMemoryPerMin; 35,089.565; M/min
gcPerformance; 56,264.038; M/s
fullGCPerformance; 6,079.027; M/s
