gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 2,334; M
totalHeapUsedMax; 2,310; M
totalHeapUsedMaxpc; 99.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 32.5; M
avgfootprintAfterGCσ; 15.518; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 15,714; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 1,309.5; M/coll
avgFreedMemoryByGCσ; 712.112; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 12; -
avgPauseIsSig; true; bool
avgPause; 0.00005; s
avgPauseσ; 0.00001; s
minPause; 0.00003; s
maxPause; 0.00006; s
gcPauseCount; 12; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00005; s
avgGCPauseσ; 0.00001; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 2,334; M
freedMemory; 15,714; M
throughput; 100; %
totalTime; 20; s
freedMemoryPerMin; 45,374.554; M/min
gcPerformance; 28,110,912.343; M/s
fullGCPerformance; n.a.; M/s
