gcLogFile; g1gc.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 145; M
totalHeapUsedMaxpc; 58.5; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 25; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 139; M
freedMemoryByFullGCpc; 40.4; %
avgFreedMemoryByFullGC; 46.333; M/coll
avgFreedMemoryByFullGCσ; 19.296; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 0; B/s
avgRelativePostFullGCInc; 0; B/coll
avgfootprintAfterGC; 3,413.333; K
avgfootprintAfterGCσ; 591.207; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 1,632.19; K/s
avgRelativePostGCInc; 512; K/coll
freedMemoryByGC; 205; M
freedMemoryByGCpc; 59.6; %
avgFreedMemoryByGC; 68.333; M/coll
avgFreedMemoryByGCσ; 64.065; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -71,652,693; B
promotionTotal; -214,958,080; B
pauseCount; 6; -
avgPauseIsSig; false; bool
avgPause; 0.0189; s
avgPauseσ; 0.01699; s
minPause; 0.00275; s
maxPause; 0.03948; s
gcPauseCount; 3; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00372; s
avgGCPauseσ; 0.00096; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.03408; s
avgFullGCPauseσ; 0.00542; s
minFullGCPause; 0.02863; s
maxFullGCPause; 0.03948; s
accumPause; 0.11; s
fullGCPause; 0.1; s
fullGCPausePc; 90.2; %
gcPause; 0.01; s
gcPausePc; 9.8; %
footprint; 248; M
freedMemory; 344; M
throughput; 93.41; %
totalTime; 1; s
freedMemoryPerMin; 11,999.1; M/min
gcPerformance; 18,356.017; M/s
fullGCPerformance; 1,359.599; M/s
