gcLogFile; zgc_nogen.log; -
totalHeapAllocMax; 418; M
totalHeapUsedMax; 408; M
totalHeapUsedMaxpc; 97.6; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 43; M
avgfootprintAfterGCσ; 1,182.413; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 478; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 119.5; M/coll
avgFreedMemoryByGCσ; 166.512; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 4; -
avgPauseIsSig; true; bool
avgPause; 0.00004; s
avgPauseσ; 0; s
minPause; 0.00003; s
maxPause; 0.00004; s
gcPauseCount; 4; -
avgGCPauseIsSig; true; bool
avgGCPause; 0.00004; s
avgGCPauseσ; 0; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 418; M
freedMemory; 478; M
throughput; 99.98; %
totalTime; 0; s
freedMemoryPerMin; 35,669.734; M/min
gcPerformance; 3,273,972.603; M/s
fullGCPerformance; n.a.; M/s
